ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:01.764195', 'src_ip': '192.168.0.118', 'dst_ip': '51.11.192.50', 'src_port': 65300, 'dst_port': 443, 'protocol': 'TCP', 'packet_length': 167, 'protocol_type': 1, 'src_bytes': 167, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:01.773746', 'src_ip': '192.168.0.118', 'dst_ip': '51.11.192.50', 'src_port': 65300, 'dst_port': 443, 'protocol': 'TCP', 'packet_length': 93, 'protocol_type': 1, 'src_bytes': 93, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:01.775051', 'src_ip': '192.168.0.118', 'dst_ip': '51.11.192.50', 'src_port': 65300, 'dst_port': 443, 'protocol': 'TCP', 'packet_length': 1494, 'protocol_type': 1, 'src_bytes': 1494, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:01.776019', 'src_ip': '192.168.0.118', 'dst_ip': '51.11.192.50', 'src_port': 65300, 'dst_port': 443, 'protocol': 'TCP', 'packet_length': 1494, 'protocol_type': 1, 'src_bytes': 1494, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:01.777033', 'src_ip': '192.168.0.118', 'dst_ip': '51.11.192.50', 'src_port': 65300, 'dst_port': 443, 'protocol': 'TCP', 'packet_length': 472, 'protocol_type': 1, 'src_bytes': 472, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:01.871638', 'src_ip': '51.11.192.50', 'dst_ip': '192.168.0.118', 'src_port': 443, 'dst_port': 65300, 'protocol': 'TCP', 'packet_length': 54, 'protocol_type': 1, 'src_bytes': 54, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:01.873186', 'src_ip': '51.11.192.50', 'dst_ip': '192.168.0.118', 'src_port': 443, 'dst_port': 65300, 'protocol': 'TCP', 'packet_length': 93, 'protocol_type': 1, 'src_bytes': 93, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:01.874093', 'src_ip': '51.11.192.50', 'dst_ip': '192.168.0.118', 'src_port': 443, 'dst_port': 65300, 'protocol': 'TCP', 'packet_length': 54, 'protocol_type': 1, 'src_bytes': 54, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:01.919334', 'src_ip': '192.168.0.118', 'dst_ip': '51.11.192.50', 'src_port': 65300, 'dst_port': 443, 'protocol': 'TCP', 'packet_length': 54, 'protocol_type': 1, 'src_bytes': 54, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:02.025815', 'src_ip': '51.11.192.50', 'dst_ip': '192.168.0.118', 'src_port': 443, 'dst_port': 65300, 'protocol': 'TCP', 'packet_length': 153, 'protocol_type': 1, 'src_bytes': 153, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:02.027654', 'src_ip': '192.168.0.118', 'dst_ip': '51.11.192.50', 'src_port': 65300, 'dst_port': 443, 'protocol': 'TCP', 'packet_length': 89, 'protocol_type': 1, 'src_bytes': 89, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:02.184350', 'src_ip': '51.11.192.50', 'dst_ip': '192.168.0.118', 'src_port': 443, 'dst_port': 65300, 'protocol': 'TCP', 'packet_length': 54, 'protocol_type': 1, 'src_bytes': 54, 'dst_bytes': 0} | Predicted label: 11
